,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
310923,CNR,2016-12-27,1,Cancelled,52,2016
310934,MIAEP,2017-02-20,10,Confirmed,8,2017
310942,DNV,2017-02-15,5,Cancelled,7,2017
310957,MIAAG,2017-01-10,1,Cancelled,2,2017
310964,ALX,2017-02-15,2,Confirmed,7,2017
310966,ALX,2016-12-22,1,Cancelled,51,2016
310972,ALG,2017-02-21,19,Confirmed,8,2017
310976,ALG,2017-02-20,13,Cancelled,8,2017
310987,CLY,2017-02-20,10,Confirmed,8,2017
310990,CLY,2017-01-31,3,Cancelled,5,2017
311004,CDL,2017-02-19,3,Confirmed,7,2017
311009,BRC,2016-12-13,1,Confirmed,50,2016
311011,BRC,2017-01-09,2,Confirmed,2,2017
311055,MAD,2017-02-11,1,Cancelled,6,2017
311108,HVZ,2017-02-16,2,Cancelled,7,2017
311115,HEL,2017-02-07,5,Confirmed,6,2017
311120,GRY,2017-02-14,4,Cancelled,7,2017
311127,GRY,2017-02-20,20,Confirmed,8,2017
311130,GRY,2017-02-15,10,Cancelled,7,2017
311142,PHP,2017-02-08,5,Cancelled,6,2017
311161,ONX,2017-02-19,6,Cancelled,7,2017
311163,PHM,2016-12-08,3,Cancelled,49,2016
311192,PLD,2017-01-18,2,Cancelled,3,2017
311196,PRP,2017-02-19,1,Cancelled,7,2017
311218,MNB,2017-02-21,3,Cancelled,8,2017
311246,MLW,2017-02-20,3,Confirmed,8,2017
311248,NNZ,2017-02-23,4,Confirmed,8,2017
311258,NTCME,2017-02-13,8,Cancelled,7,2017
311284,NTCME,2017-01-20,13,Cancelled,3,2017
311287,SAV,2017-02-20,5,Cancelled,8,2017
311289,SAV,2017-02-23,7,Confirmed,8,2017
311303,TAC,2017-01-29,3,Cancelled,4,2017
311304,TAC,2017-02-23,1,Cancelled,8,2017
311329,VPK,2017-02-07,5,Cancelled,6,2017
311330,VPZ,2016-11-26,1,Cancelled,47,2016
311333,VPZ,2017-02-23,3,Confirmed,8,2017
311350,SFOBC,2017-01-25,2,Cancelled,4,2017
311357,SFOBC,2017-02-14,5,Confirmed,7,2017
311389,SCH,2017-01-23,2,Confirmed,4,2017
311391,SCH,2017-02-15,2,Cancelled,7,2017
311397,SDP,2017-02-23,2,Cancelled,8,2017
311398,SDP,2017-02-09,2,Cancelled,6,2017
311399,SEA,2016-11-02,1,Confirmed,44,2016
311414,SLM,2017-01-25,2,Cancelled,4,2017
311417,SMN,2017-02-07,2,Confirmed,6,2017
311420,SOL,2017-01-03,1,Cancelled,1,2017
311424,SAV,2017-02-21,10,Cancelled,8,2017
311437,SHR,2017-02-16,4,Confirmed,7,2017
311439,SHR,2017-01-13,2,Confirmed,2,2017
311441,SHR,2017-02-08,2,Cancelled,6,2017
311462,CLY,2017-02-21,8,Confirmed,8,2017
311464,CLY,2017-02-19,4,Confirmed,7,2017
311465,CLY,2017-02-19,3,Cancelled,7,2017
311467,CLY,2017-01-19,2,Cancelled,3,2017
311477,CLY,2017-02-16,6,Confirmed,7,2017
311478,CLY,2017-02-18,4,Cancelled,7,2017
311485,CMN,2017-02-17,3,Confirmed,7,2017
311486,DMN,2017-01-26,12,Cancelled,4,2017
311487,DMN,2017-02-20,7,Confirmed,8,2017
311489,DMN,2017-02-10,2,Cancelled,6,2017
311490,DMN,2017-02-11,6,Cancelled,6,2017
311506,CMN,2017-01-16,3,Confirmed,3,2017
311507,CMN,2017-02-09,2,Cancelled,6,2017
311515,DCM,2017-02-10,5,Cancelled,6,2017
311525,ALG,2017-02-23,29,Confirmed,8,2017
311528,ALG,2017-02-08,6,Cancelled,6,2017
311536,ALG,2017-02-07,9,Cancelled,6,2017
311546,ALG,2017-01-08,2,Cancelled,1,2017
311548,ALG,2017-02-03,6,Cancelled,5,2017
311575,CDL,2017-02-20,2,Cancelled,8,2017
311580,BRC,2017-02-10,3,Cancelled,6,2017
311583,BRC,2017-01-08,2,Confirmed,1,2017
311585,ALX,2017-02-17,4,Confirmed,7,2017
311593,MIAAG,2016-12-28,1,Confirmed,52,2016
311610,HVZ,2017-02-21,5,Confirmed,8,2017
311613,HVZ,2017-02-23,7,Confirmed,8,2017
311617,LAXWM,2017-02-21,2,Confirmed,8,2017
311623,GRY,2017-01-13,1,Cancelled,2,2017
311648,LRN,2017-01-30,1,Confirmed,5,2017
311656,DNV,2017-02-10,13,Cancelled,6,2017
311682,NYCAA,2017-02-20,6,Confirmed,8,2017
311689,FAS,2017-01-29,1,Cancelled,4,2017
311692,FAS,2017-02-18,1,Cancelled,7,2017
311693,FAS,2017-02-20,3,Cancelled,8,2017
311698,NYCAA,2017-02-06,3,Confirmed,6,2017
311718,GLE,2016-04-15,1,Cancelled,15,2016
311720,GLE,2017-02-19,2,Confirmed,7,2017
311740,GRY,2016-11-27,1,Cancelled,47,2016
311741,GRG,2017-02-19,4,Confirmed,7,2017
311777,NNZ,2017-02-24,2,Confirmed,8,2017
311778,NNZ,2017-01-17,2,Cancelled,3,2017
311805,NTCME,2017-02-16,6,Cancelled,7,2017
311806,NTCME,2017-02-18,1,Cancelled,7,2017
311809,NTCME,2017-02-20,3,Cancelled,8,2017
311811,NTCME,2017-02-22,7,Cancelled,8,2017
311812,NTCME,2017-02-23,7,Cancelled,8,2017
311813,NTCME,2017-02-23,6,Confirmed,8,2017
311821,PHP,2017-02-23,7,Confirmed,8,2017
311822,PHP,2017-02-24,2,Confirmed,8,2017
311824,PHP,2017-01-17,3,Confirmed,3,2017
311843,PRP,2017-02-05,2,Confirmed,5,2017
311844,PRP,2017-02-04,1,Cancelled,5,2017
311855,ONX,2017-02-21,8,Cancelled,8,2017
311856,ONX,2017-02-24,6,Confirmed,8,2017
311866,PHM,2017-01-26,3,Cancelled,4,2017
311868,PHM,2017-02-21,4,Confirmed,8,2017
311869,PHM,2017-02-23,3,Confirmed,8,2017
311875,PHP,2016-10-21,1,Cancelled,42,2016
311891,MAD,2017-01-10,2,Cancelled,2,2017
311894,MAD,2017-02-08,3,Confirmed,6,2017
311895,MLW,2016-11-25,1,Confirmed,47,2016
311904,MLW,2017-02-23,6,Confirmed,8,2017
311906,MLW,2017-02-24,4,Confirmed,8,2017
311912,JRY,2017-02-23,4,Confirmed,8,2017
311913,PRP,2017-02-06,1,Cancelled,6,2017
311916,JRY,2017-02-14,1,Confirmed,7,2017
311917,LRN,2016-12-26,1,Confirmed,52,2016
311918,LRN,2017-02-04,1,Confirmed,5,2017
311919,LRN,2017-02-18,2,Confirmed,7,2017
311946,MPT,2017-02-05,2,Confirmed,5,2017
311947,MPT,2017-02-17,1,Confirmed,7,2017
311948,MPT,2017-02-24,11,Cancelled,8,2017
311985,MNB,2017-02-19,1,Confirmed,7,2017
312002,PRP,2017-02-20,3,Cancelled,8,2017
312005,SLM,2017-02-21,3,Confirmed,8,2017
312007,SMN,2017-02-20,5,Confirmed,8,2017
312010,SMN,2017-02-13,1,Cancelled,7,2017
312032,SLM,2017-02-18,6,Confirmed,7,2017
312046,SHR,2017-01-26,4,Cancelled,4,2017
312048,SHR,2017-02-23,2,Cancelled,8,2017
312049,SHR,2017-02-24,7,Confirmed,8,2017
312053,SHR,2017-02-24,1,Cancelled,8,2017
312076,VPK,2017-02-01,5,Confirmed,5,2017
312078,VPK,2017-01-15,3,Confirmed,2,2017
312080,VPZ,2016-08-20,1,Cancelled,33,2016
312086,MIAVB,2016-09-20,1,Cancelled,38,2016
312093,JRY,2017-02-22,5,Confirmed,8,2017
312097,SFOBC,2017-02-23,3,Confirmed,8,2017
312105,TAC,2016-11-27,3,Cancelled,47,2016
312112,TAC,2017-02-04,1,Cancelled,5,2017
312113,TAC,2017-02-05,1,Cancelled,5,2017
312126,PRP,2017-02-21,3,Confirmed,8,2017
312132,RGE,2017-02-24,3,Confirmed,8,2017
312145,SCH,2016-09-27,1,Cancelled,39,2016
312149,SCH,2016-11-03,1,Cancelled,44,2016
312155,SCH,2017-01-03,1,Confirmed,1,2017
312158,RGE,2017-02-03,10,Cancelled,5,2017
312174,PXP,2017-01-24,2,Cancelled,4,2017
312177,PXP,2017-02-20,5,Confirmed,8,2017
312178,PXP,2017-02-21,2,Confirmed,8,2017
312179,PXP,2017-02-24,3,Confirmed,8,2017
312180,PXP,2017-02-25,2,Confirmed,8,2017
312184,PXP,2017-02-09,6,Confirmed,6,2017
312223,SDP,2017-01-27,3,Confirmed,4,2017
312224,SDP,2017-02-16,3,Confirmed,7,2017
312227,SDP,2017-02-21,5,Confirmed,8,2017
312228,SDP,2017-02-22,3,Confirmed,8,2017
312233,SEA,2016-07-24,1,Cancelled,29,2016
312234,SEA,2016-10-09,2,Cancelled,40,2016
312235,SEA,2016-10-15,2,Cancelled,41,2016
312241,SEA,2017-01-09,2,Cancelled,2,2017
312244,SEA,2017-01-28,3,Cancelled,4,2017
312250,JRY,2017-01-09,2,Confirmed,2,2017
312251,BRC,2017-02-24,8,Cancelled,8,2017
312267,CMN,2017-02-24,5,Confirmed,8,2017
312272,CNR,2017-02-23,2,Confirmed,8,2017
312277,DCM,2017-01-09,2,Cancelled,2,2017
312281,DCM,2017-01-24,2,Cancelled,4,2017
312295,CLY,2017-02-17,2,Cancelled,7,2017
312308,CMN,2016-12-22,1,Cancelled,51,2016
312315,DMN,2017-02-16,5,Cancelled,7,2017
312318,DMN,2017-02-12,3,Cancelled,6,2017
312327,DNV,2017-02-17,3,Cancelled,7,2017
312329,DNV,2017-02-08,4,Confirmed,6,2017
312345,DMN,2017-01-22,3,Cancelled,3,2017
312347,DCM,2017-02-13,4,Cancelled,7,2017
312355,DCP,2017-01-24,5,Confirmed,4,2017
312360,DCP,2017-02-16,4,Cancelled,7,2017
312361,DCP,2017-02-20,5,Confirmed,8,2017
312362,DCP,2017-02-21,5,Confirmed,8,2017
312363,DCP,2017-02-23,1,Cancelled,8,2017
312364,DCP,2017-02-24,6,Confirmed,8,2017
312371,DMN,2016-09-29,1,Cancelled,39,2016
312377,ALG,2017-02-22,8,Cancelled,8,2017
312384,ALG,2017-02-24,14,Confirmed,8,2017
312421,ALG,2017-02-06,13,Cancelled,6,2017
312441,BRC,2017-02-03,6,Cancelled,5,2017
312442,BRC,2017-02-24,4,Confirmed,8,2017
312450,CDL,2017-02-15,2,Confirmed,7,2017
312451,CDL,2017-02-23,3,Confirmed,8,2017
312452,CDL,2017-01-18,1,Cancelled,3,2017
312453,CDL,2017-02-11,1,Confirmed,6,2017
312454,CDL,2017-02-14,1,Cancelled,7,2017
312464,CHP,2017-02-23,2,Confirmed,8,2017
312470,ALX,2016-11-24,2,Cancelled,47,2016
312475,ALX,2017-01-19,1,Cancelled,3,2017
312481,ALX,2017-02-20,1,Confirmed,8,2017
312486,ALX,2017-02-09,6,Cancelled,6,2017
312489,MIAAG,2016-11-23,1,Cancelled,47,2016
312497,MIAAG,2017-02-09,1,Confirmed,6,2017
312498,MIAEP,2017-02-04,4,Confirmed,5,2017
312499,CDL,2017-01-15,1,Cancelled,2,2017
312503,GRY,2017-02-12,9,Cancelled,6,2017
312506,GRY,2017-02-13,9,Cancelled,7,2017
312518,HEL,2017-01-20,1,Confirmed,3,2017
312544,GRY,2017-02-17,10,Cancelled,7,2017
312546,GRY,2017-02-21,26,Confirmed,8,2017
312548,GRY,2017-02-23,8,Confirmed,8,2017
312549,GRY,2017-02-24,8,Cancelled,8,2017
312593,LAXWM,2017-02-13,1,Confirmed,7,2017
312603,HVZ,2017-02-14,3,Cancelled,7,2017
312608,LAXWM,2017-01-11,1,Cancelled,2,2017
312610,LAXWM,2017-01-20,2,Cancelled,3,2017
