,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
18293,MIASS,2016-02-29,23,Confirmed,9,2016
18324,MIASS,2016-02-25,14,Cancelled,8,2016
18465,LAXWP,2016-03-02,10,Cancelled,9,2016
18489,LAXWP,2016-03-02,10,Confirmed,9,2016
18688,MIASS,2016-03-08,18,Confirmed,10,2016
18716,MIASS,2016-03-04,21,Cancelled,9,2016
18761,MIASS,2016-02-07,7,Cancelled,5,2016
18985,SFODR,2016-03-10,8,Confirmed,10,2016
18987,SFODR,2016-03-06,7,Confirmed,9,2016
18989,SFODR,2016-03-07,14,Confirmed,10,2016
18990,SFODR,2016-03-03,9,Confirmed,9,2016
19084,MIASS,2016-03-10,23,Cancelled,10,2016
19085,MIASS,2016-03-10,23,Confirmed,10,2016
19086,MIASS,2016-03-09,10,Confirmed,10,2016
19342,LAXWP,2016-03-10,6,Confirmed,10,2016
19343,LAXWP,2016-03-08,7,Confirmed,10,2016
19450,SFODR,2016-01-11,28,Cancelled,2,2016
19577,MIASS,2016-03-11,10,Confirmed,10,2016
19588,MIASS,2016-02-29,23,Cancelled,9,2016
19607,MIASS,2016-02-04,9,Confirmed,5,2016
19653,SFODR,2016-03-11,12,Confirmed,10,2016
19669,SFODR,2016-03-05,12,Cancelled,9,2016
19680,SFODR,2016-02-23,16,Cancelled,8,2016
19685,SFODR,2016-02-28,7,Confirmed,8,2016
19687,SFODR,2016-03-01,11,Cancelled,9,2016
19965,LAXWP,2016-03-09,3,Confirmed,10,2016
19971,NYCIK,2016-02-18,8,Confirmed,7,2016
19976,NYCIK,2016-03-11,14,Confirmed,10,2016
19983,LAXWP,2016-03-11,7,Confirmed,10,2016
20204,LAXWP,2016-03-12,3,Confirmed,10,2016
20316,MIASS,2016-01-21,8,Cancelled,3,2016
20317,MIASS,2016-01-27,11,Confirmed,4,2016
20320,MIASS,2016-01-31,17,Cancelled,4,2016
20396,SFODR,2016-03-06,7,Cancelled,9,2016
20398,SFODR,2016-03-07,14,Cancelled,10,2016
20771,NYCIK,2016-03-08,13,Cancelled,10,2016
20772,NYCIK,2016-03-08,13,Confirmed,10,2016
20774,NYCIK,2016-03-09,12,Confirmed,10,2016
20777,NYCIK,2016-03-10,13,Confirmed,10,2016
20784,NYCIK,2016-03-12,19,Confirmed,10,2016
21080,MIASS,2016-03-12,13,Confirmed,10,2016
21360,LAXWP,2016-03-13,4,Confirmed,10,2016
21381,LAXWP,2016-03-06,9,Cancelled,9,2016
21433,NYCIK,2016-02-26,2,Cancelled,8,2016
21434,NYCIK,2016-03-13,17,Confirmed,10,2016
21437,NYCIK,2016-02-28,4,Cancelled,8,2016
21438,NYCIK,2016-02-25,4,Cancelled,8,2016
21441,NYCIK,2016-02-02,9,Cancelled,5,2016
21595,MIASS,2016-03-14,21,Confirmed,11,2016
21596,MIASS,2016-03-13,16,Cancelled,10,2016
21637,MIASS,2016-02-18,7,Cancelled,7,2016
21893,LAXWP,2016-03-07,3,Confirmed,10,2016
21904,NYCIK,2016-03-02,5,Cancelled,9,2016
22058,MIASS,2016-03-15,25,Confirmed,11,2016
22063,MIASS,2016-03-13,16,Confirmed,10,2016
22070,MIASS,2016-03-02,22,Cancelled,9,2016
22300,LAXWP,2016-03-15,14,Confirmed,11,2016
22304,LAXWP,2016-03-14,6,Confirmed,11,2016
22306,LAXWP,2016-03-10,6,Cancelled,10,2016
22372,NYCIK,2016-03-15,6,Confirmed,11,2016
22374,NYCIK,2016-03-11,14,Cancelled,10,2016
22379,NYCIK,2016-02-18,8,Cancelled,7,2016
22550,MIASS,2016-03-16,15,Confirmed,11,2016
22810,LAXWP,2016-03-16,9,Confirmed,11,2016
22863,NYCIK,2016-02-24,7,Cancelled,8,2016
22908,NYCIK,2016-02-08,9,Confirmed,6,2016
23110,MIASS,2016-03-17,33,Confirmed,11,2016
23513,NYCIK,2016-03-16,11,Confirmed,11,2016
23731,LAXWP,2016-03-17,6,Confirmed,11,2016
23732,LAXWP,2016-03-18,12,Confirmed,11,2016
23765,NYCIK,2016-03-13,17,Cancelled,10,2016
23768,NYCIK,2016-03-14,11,Cancelled,11,2016
23781,NYCIK,2016-03-14,11,Confirmed,11,2016
23866,MIASS,2016-03-18,24,Confirmed,11,2016
23897,MIASS,2016-02-27,10,Cancelled,8,2016
24027,SFODR,2016-03-05,12,Confirmed,9,2016
24028,SFODR,2016-03-03,9,Cancelled,9,2016
24029,SFODR,2016-03-13,19,Cancelled,10,2016
24030,SFODR,2016-03-16,10,Confirmed,11,2016
24031,SFODR,2016-03-18,12,Confirmed,11,2016
24689,NYCIK,2016-03-18,9,Confirmed,11,2016
24690,NYCIK,2016-03-19,10,Confirmed,11,2016
24696,LAXWP,2016-02-12,4,Cancelled,6,2016
24698,LAXWP,2016-02-28,7,Cancelled,8,2016
24702,LAXWP,2016-03-11,7,Cancelled,10,2016
24730,NYCIK,2016-01-30,5,Confirmed,4,2016
24744,NYCIK,2016-03-12,19,Cancelled,10,2016
24824,MIASS,2016-02-15,8,Confirmed,7,2016
24921,MIASS,2016-03-19,22,Confirmed,11,2016
24943,SFODR,2016-03-09,13,Confirmed,10,2016
