Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year,month,,,Mnemonic Code
PDXPM,1/18/2018,8,Confirmed,3,2018,1,,,
PHLPM,1/18/2018,4,Confirmed,3,2018,1,,,
PHLPP,1/18/2018,5,Confirmed,3,2018,1,,,
PITHM,1/11/2018,1,Confirmed,2,2018,1,,,
ORDCM,1/15/2018,3,Confirmed,3,2018,1,,,
NYCAA,1/16/2018,9,Cancelled,3,2018,1,,,
NYCAA,1/17/2018,9,Cancelled,3,2018,1,,,
ORDAL,1/17/2018,4,Confirmed,3,2018,1,,,
ORDAL,1/17/2018,1,Cancelled,3,2018,1,,,
ORDAL,1/18/2018,6,Confirmed,3,2018,1,,,
SMFKG,1/18/2018,4,Confirmed,3,2018,1,,,
WDCDP,1/12/2018,8,Confirmed,2,2018,1,,,
WDCPA,1/11/2018,2,Confirmed,2,2018,1,,,
SMFKG,1/15/2018,2,Confirmed,3,2018,1,,,
SEAPD,1/17/2018,4,Confirmed,3,2018,1,,,
SEASM,1/16/2018,1,Confirmed,3,2018,1,,,
SEAVP,1/16/2018,2,Confirmed,3,2018,1,,,
SLCSL,1/13/2018,65,Cancelled,2,2018,1,,,
NYCAA,1/15/2018,6,Cancelled,3,2018,1,,,
LAXGY,1/15/2018,1,Confirmed,3,2018,1,,,
LAXGY,1/18/2018,2,Confirmed,3,2018,1,,,
LAXWM,1/12/2018,3,Confirmed,2,2018,1,,,
MIAAG,1/19/2018,2,Confirmed,3,2018,1,,,
INTCH,1/18/2018,3,Cancelled,3,2018,1,,,
INTCH,1/18/2018,2,Confirmed,3,2018,1,,,
BALMN,1/16/2018,2,Cancelled,3,2018,1,,,
BALMN,1/18/2018,2,Confirmed,3,2018,1,,,
BNAAE,1/12/2018,5,Confirmed,2,2018,1,,,
BOSML,1/11/2018,12,Confirmed,2,2018,1,,,
DENBO,1/16/2018,7,Confirmed,3,2018,1,,,
INTCH,1/16/2018,5,Cancelled,3,2018,1,,,
NTCME,1/17/2018,11,Cancelled,3,2018,1,,,
MIAVB,1/17/2018,1,Cancelled,3,2018,1,,,
NTCME,1/16/2018,2,Confirmed,3,2018,1,,,
PHXPX,1/17/2018,2,Cancelled,3,2018,1,,,
PITHM,1/16/2018,5,Cancelled,3,2018,1,,,
PHXPX,1/19/2018,2,Cancelled,3,2018,1,,,
SANSO,1/16/2018,7,Confirmed,3,2018,1,,,
PSPNP,1/19/2018,2,Cancelled,3,2018,1,,,
PSPNP,1/19/2018,2,Confirmed,3,2018,1,,,
SAVKB,1/15/2018,3,Cancelled,3,2018,1,,,
SEAAX,1/15/2018,2,Confirmed,3,2018,1,,,
PHLPP,1/17/2018,3,Confirmed,3,2018,1,,,
ORDCM,1/16/2018,4,Confirmed,3,2018,1,,,
ORDCM,1/19/2018,2,Confirmed,3,2018,1,,,
ORDCM,1/20/2018,1,Cancelled,3,2018,1,,,
ORDTG,1/20/2018,2,Cancelled,3,2018,1,,,
PHLPP,1/16/2018,1,Confirmed,3,2018,1,,,
PDXVP,1/13/2018,19,Cancelled,2,2018,1,,,
PHLPM,1/11/2018,1,Confirmed,2,2018,1,,,
PHLPM,1/15/2018,10,Confirmed,3,2018,1,,,
PHLPM,1/17/2018,7,Cancelled,3,2018,1,,,
PHLPP,1/15/2018,2,Cancelled,3,2018,1,,,
PDXPM,1/18/2018,3,Cancelled,3,2018,1,,,
